"Title","Developer(s)","Release date","","","Options","Ref."
"Mahjong Tales: Ancient Wisdom","Creat Studios","Unreleased","December 23, 2008","January 8, 2009","","[124]"
"Mahjong World","Recom","February 26, 2010","Unreleased","Unreleased","",""
"Mahjong World W","Recom","April 20, 2015","Unreleased","Unreleased","",""
"Mainichi Issho","Japan Studio","November 11, 2006","Unreleased","Unreleased","","[125]"
"Maji de Watashi ni Koi Shinasai! R","Minato Station","February 23, 2012","Unreleased","Unreleased","","[126]"
"Majin and the Forsaken Kingdom","Game Republic","January 20, 2011","November 26, 2010","November 23, 2010","","[127]"
"Major League Baseball 2K7","Kush Games","Unreleased","Unreleased","February 26, 2007","","[128]"
"Major League Baseball 2K8","Kush Games","Unreleased","Unreleased","March 4, 2008","","[129]"
"Major League Baseball 2K9","Visual Concepts","July 9, 2009","Unreleased","March 3, 2009","","[130]"
"Major League Baseball 2K10","Visual Concepts","Unreleased","Unreleased","March 2, 2010","","[131]"
"Major League Baseball 2K11","Visual Concepts","Unreleased","Unreleased","March 8, 2011","","[132]"
"Major League Baseball 2K12","Visual Concepts","Unreleased","Unreleased","March 6, 2012","","[133]"
"Major League Baseball 2K13","Visual Concepts","Unreleased","Unreleased","March 5, 2013","","[134]"
"Makai Senki Disgaea 3 Append Disc: Raspberyl-hen Hajime Mashita (expansion)","Nippon Ichi Software","September 17, 2009","Unreleased","Unreleased","","[135]"
"Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita (expansion)","Nippon Ichi Software","October 27, 2011","Unreleased","Unreleased","","[136]"
"Malicious","Alvion","October 27, 2010","February 8, 2012","July 24, 2012","",""
"Mamorukun Curse!","Gulti","Unreleased","Unreleased","July 16, 2013","",""
"Man vs. Wild","Scientifically Proven","Unreleased","Unreleased","April 26, 2011","","[137]"
"Mars: War Logs","Spiders","Unreleased","August 13, 2013","August 13, 2013","",""
"Marvel Pinball","Zen Studios","Unreleased","December 15, 2010","December 14, 2010","",""
"Marvel Puzzle Quest: Dark Reign","WayForward Technologies","Unreleased","October 26, 2015","October 16, 2015","",""
