"Title","Developer","Publisher","First released","JP","EU / PAL","NA"
"Heracles: Battle with the Gods","Neko Entertainment","Midas Interactive Entertainment","2006-03-10EU","","✔",""
"Heracles: Chariot Racing","Neko Entertainment","Midas Interactive Entertainment","2007-06-27EU","","✔",""
"Herdy Gerdy","Core Design","Eidos Interactive","2002-02-22EU","✔","✔","✔"
"Hermina to Culus","Gust","Gust","2001-12-20JP","✔","",""
"Heroes of Might and Magic: Quest for the Dragon Bone Staff","New World Computing","3DO","2001-04-18NA","","✔","✔"
"Heroes of the Pacific","Transmission Games","CodemastersEU, UbisoftNA","2005-09-23EU","","✔","✔"
"Hidden Invasion","Toka","Swing! DeutschlandEU, Conspiracy EntertainmentNA","2001-12-07EU","","✔","✔"
"Higanbana","Sammy Studios","Sammy Studios","2002-12-26JP","✔","",""
"High Heat Major League Baseball 2002","3DO","3DO","2001-03-27NA","","","✔"
"High Heat Major League Baseball 2003","3DO","3DO","2002-02-09NA","✔","✔","✔"
"High Heat Major League Baseball 2004","3DO","3DO","2003-02-20NA","","","✔"
"High Rollers Casino","Virtual Toys","Mud Duck Productions","2004-11-10NA","","","✔"
"High School Musical 3: Senior Year DANCE!","Page 44 Studios","Disney Interactive Studios","2008-10-28NA","","✔","✔"
"High School Musical: Sing It!","Artificial Mind and Movement","Disney Interactive Studios","2007-10-30NA","","✔","✔"
"Higurashi no Naku Koro ni Matsuri","07th Expansion","Alchemist","2007-02-22JP","✔","",""
"Higurashi no Naku Koro ni Matsuri: Kakera Asobi","07th Expansion","Alchemist","2007-12-20JP","✔","",""
"Hiiro no Kakera•Hiiro no Kakera: AizoubanJP","Design Factory","Idea Factory","2006-07-06JP","✔","",""
"Hiiro no Kakera: Ano Sora no Shita de","Design Factory","Idea Factory","2007-02-15JP","✔","",""
"Hiiro no Kakera: Shin Tamayori Hime Denshou","Design Factory","Idea Factory","2009-10-01JP","✔","",""
"Himehibi: New Princess Days!! Zoku! Ni-Gakki","Takuyo","Takuyo","2009-06-25JP","✔","",""
"HimeHibi: Princess Days","Takuyo","Takuyo","2006-12-28JP","✔","",""
"Hissatsu Pachi-Slot Evolution: Ninja Hattori-Kun V","SunSoft","SunSoft","2005-12-22JP","✔","",""
"Hissatsu Pachinko Evolution 2: Osomatsu-Kun","SunSoft","SunSoft","2006-03-02JP","✔","",""
"Hissatsu Pachinko Station V: Honoo no Bakushougun","SunSoft","SunSoft","2001-06-07JP","✔","",""
"Hissatsu Pachinko Station V2","SunSoft","SunSoft","2001-07-12JP","✔","",""
"Hissatsu Pachinko Station V3","SunSoft","SunSoft","2002-04-25JP","✔","",""
"Hissatsu Pachinko Station V4","SunSoft","SunSoft","2002-08-22JP","✔","",""
"Hissatsu Pachinko Station V5","SunSoft","SunSoft","2002-10-31JP","✔","",""
"Hissatsu Pachinko Station V6","SunSoft","SunSoft","2002-12-05JP","✔","",""
"Hissatsu Pachinko Station V7","SunSoft","SunSoft","2003-05-22JP","✔","",""
"Hissatsu Pachinko Station V8","SunSoft","SunSoft","2003-11-20JP","✔","",""
"Hissatsu Pachinko Station V9: Osomatsu-kun","SunSoft","SunSoft","2005-02-24JP","✔","",""
"Hissatsu Pachinko Station V10","SunSoft","SunSoft","2005-03-17JP","✔","",""
"Hissatsu Pachinko Station V11","SunSoft","SunSoft","2005-09-29JP","✔","",""
"Hissatsu Ura-Kagyou","Lightweight","Genki","2005-09-22JP","✔","",""
"Hisshou Pachinko Kouryaku Series Vol. 1: CR Shinseiki Evangelion","D3 Publisher","D3 Publisher","2005-10-20JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 2: Bomber Powerful & Yume Yume World DX","D3 Publisher","D3 Publisher","2006-01-12JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 3: CR Marilyn Monroe","D3 Publisher","D3 Publisher","2006-02-23JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 4: CR Ashita Gaarusa Yoshimoto World","D3 Publisher","D3 Publisher","2006-05-25JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion 2nd Impact * Pachi-Slot Shinseiki Evangelion","D3 Publisher","D3 Publisher","2006-06-08JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 6: 7Cafe Keishikina Bomber Powerful 2","D3 Publisher","D3 Publisher","2006-08-03JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 7: CR Fever Powerful Zero","D3 Publisher","D3 Publisher","2006-10-26JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 8: CR Matsuura Aya","D3 Publisher","D3 Publisher","2006-11-30JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryoku Series Vol. 9: CR Fever Captain Harlock","D3 Publisher","D3 Publisher","2007-03-08JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 10: CR Shinseiki Evangelion: Kiseki no Kachi","D3 Publisher","D3 Publisher","2007-06-07JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 11: Shinseiki Evangelion – Magokoro o, Kimi ni","D3 Publisher","D3 Publisher","2007-09-27JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion – Shito, Futatabi","D3 Publisher","D3 Publisher","2008-06-26JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion – Yakusoku no Toki","D3 Publisher","D3 Publisher","2008-12-18JP","✔","",""
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono","D3 Publisher","D3 Publisher","2009-07-30JP","✔","",""
"The History Channel: Battle for the Pacific","Sand Grain Studios","Activision","2007-12-04NA","","✔","✔"
"The History Channel: Civil War - A Nation Divided","Cauldron","Activision","2006-11-07NA","","","✔"
"The History Channel: Civil War: Secret Missions","Cauldron","Activision","2008-11-04NA","","","✔"
"The History Channel: Great Battles of Rome","Slitherine","Black Bean Games","2007-06-08EU","","✔",""
"Hisui no Shizuku: Hiiro no Kakera 2","Design Factory","Idea Factory","2007-08-09JP","✔","",""
"Hitman 2: Silent Assassin","IO Interactive","Eidos Interactive","2002-10-01NA","✔","✔","✔"
"Hitman: Blood Money","IO Interactive","Eidos Interactive","2006-05-26EU","","✔","✔"
"Hitman: Contracts","IO Interactive","Eidos Interactive","2004-04-20NA","✔","✔","✔"
"The Hobbit•Hobbit no Bouken: Lord of the Rings Hajimari no MonogatariJP","Inevitable Entertainment","Sierra EntertainmentEU, NA, KonamiJP","2003-11-11NA","✔","✔","✔"
"Hokenshitsu e Youkoso","PrincessSoft","PrincessSoft","2006-11-30JP","✔","",""
"Hokkahoka Sentou","Tecmo","Tecmo","2002-07-25JP","✔","",""
"Hokuto no Ken","Arc System Works","Sega","2007-03-27JP","✔","",""
"Home Alone","Coyote Console","Blast! Entertainment Ltd","2006-11-29EU","","✔",""
"Home Maid: Owari no Tachi","PrincessSoft","PrincessSoft","2005-06-02JP","✔","",""
"Homerun•Magical Sports 2001 Pro YakyuuJP","Mahou","Mahou","2001-08-16JP","✔","✔",""
"Homura","Skonec","TaitoJP, 505 Game StreetEU","2005-12-01JP","✔","✔",""
"Honkakuha 2000 Series: 3D Mahjong + Janpai Tori","Magnolia","Magnolia","2006-11-16JP","✔","",""
"Honkakuteki Pachinko Jikki Kouryaku Series: Milky Bar and Kirakuin","Unbalance","Unbalance","2001-07-19JP","✔","",""
"Honoo no Takuhaibin","Success","Success","2006-10-19JP","✔","",""
"Hooligan: Kimi no Naka no Yuuki","Frontwing","Pacific Century Cyber Works","2002-08-29JP","✔","",""
"Hoppie","Phoenix Games","Phoenix Games","2006EU","","✔",""
"Horse Breaker","Koei/Inis","Koei","2001-08-02JP","✔","",""
"Horsez•Pippa Funnell: Take the ReinsUK•Alexandra Ledermann: School of ChampionsFR","MTO","Ubisoft","2006-10-27UK","","✔","✔"
"Hoshi Furu","Piacci","Piacci","2008-07-31JP","✔","",""
"Hoshi no Furu Toki","Design Factory","Idea Factory","2005-09-22JP","✔","",""
"Hoshigari Empusa","Takuyo","Takuyo","2008-04-17JP","✔","",""
"Hoshiiro no Okurimono","Takuyo","Takuyo","2007-11-08JP","✔","",""
"Hot Shots Golf 3•Minna no Golf 3JP","Clap Hanz","Sony Computer Entertainment","2001-07-26JP","✔","","✔"
"Hot Shots Golf Fore!•Everybody's GolfEU•Minna no Golf 4JP•Everybody's Golf 4KO","Clap Hanz","Sony Computer Entertainment","2003-11-27JP","✔JP, KO","✔","✔"
"Hot Shots Golf Online•Minna no Golf OnlineJP","Clap Hanz","Sony Computer Entertainment","2003-06-12JP","✔","",""
"Hot Shots Tennis•Everybody's TennisPAL•Minna no TennisJP","Clap Hanz","Sony Computer Entertainment","2006-09-14JP","✔JP, KO","✔","✔"
"Hot Wheels: Beat That!","Eutechnyx","Activision","2007-09-25NA","","✔","✔"
"Hot Wheels: Stunt Track Challenge","Climax Group","THQ","2004-11-10NA","","✔","✔"
"Hot Wheels Velocity X","Beyond Games","THQ","2002-11-11NA","","✔","✔"
"Hot Wheels World Race","Climax Group","THQ","2003-10-29NA","","✔","✔"
"Houkago no Love Beat•Simple 2000 Ultimate Series Vol. 27: Houkago no Love BeatJP","HuneX","D3 Publisher","2004-06-10JP","✔","",""
"Houkago wa Gin no Shirabe","Fupac","Dimple Entertainment","2008-02-28JP","✔","",""
"Houshin Engi 2","Koei","Koei","2002-06-27JP","✔","",""
"Hresvelgr","Gust","Gust","2000-06-22JP","✔","",""
"HSX HyperSonic.Xtreme•G-SurfersEU","Blade Interactive","Midas Interactive EntertainmentEU, Majesco EntertainmentNA","2002-01-25EU","","✔","✔"
"Hudson Selection Vol. 3: PC Genjin","Hudson Soft","Hudson Soft","2003-12-04JP","✔","",""
"Hudson Selection Vol. 4: Takahashi Meijin no Bouken Jima","Hudson Soft","Hudson Soft","2003-12-18JP","✔","",""
"Hugo: Bukkazoom!","ITE Media","ITE Media","2003-11-28EU","","✔",""
"Hugo: Cannon Cruise","ITE Media","ITE Media","2004-11-03EU","","✔",""
"Hugo: Magic In The Troll Woods","Attractive Games","Rough Trade (PlayStation 2 game designer)Rough Trade","2009-11-27EU","","✔",""
"Hulk","Radical Entertainment","Universal InteractiveEU, NA, CyberFrontJP","2003-05-28NA","✔","✔","✔"
"Hummer Badlands","Eutechnyx","Global Star SoftwareNA, 2K GamesEU","2006-04-13NA","","✔","✔"
"Hungry Ghosts (PlayStation 2 game)Hungry Ghosts","Deep Space","Sony Computer Entertainment","2003-07-31JP","✔","",""
"Hunter: The Reckoning: Wayward","High Voltage Software","Vivendi Universal Games","2003-09-09NA","","✔","✔"
"Hunter X Hunter: Ryumyaku no Saidan","Konami","Konami","2001-08-30JP","✔","",""
"The Hustle: Detroit Streets","Blade Interactive","Activision","2006-04-26NA","","","✔"
"Hyakko: Yorozuya Jikenbo!","5pb","5pb","2009-04-09JP","✔","",""
"Hype: The Time Quest","Ubisoft Montreal","Ubisoft","2002-09-20EU","","✔",""
"Hyper Street Fighter II: The Anniversary Edition","Capcom","Capcom","2003-12-18JP","✔","✔",""
"I Love Baseball: Pro Yakyuu o Koyonaku Aisuru Hitotachi e","Sammy Studios","Sammy Studios","2004-07-29JP","✔",""
"I-Ninja","Argonaut Games","NamcoNA, Sony Computer EntertainmentEU","2003-11-18NA","","✔","✔"
"I/O","Regista","GN Software","2006-01-26JP","✔","",""
"I.Q. Remix+: Intelligent Qube","Sugar and Rockets","Sony Computer Entertainment","2000-03-23JP","✔","",""
"I's Pure","Regista","Takara Tomy","2006-11-09JP","✔","",""
"Ibara","Cave","Taito","2006-02-23JP","✔","",""
"Ice Age 2: The Meltdown","Eurocom","Vivendi Universal Games","2006-03-14NA","✔","✔","✔"
"Ice Age: Dawn of the Dinosaurs•Ice Age 3: Dawn of the DinosaursPAL","Eurocom","Activision","2009-06-24AU","","✔","✔"
"Ichigeki Sacchuu!! HoiHoi-San","Konami","Konami","2003-11-27JP","✔","",""
"Ichigo 100% Strawberry Diary","Alpha Unit","Tomy","2005-02-10JP","✔","",""
"Ichigo Mashimaro","ASCII Media Works","ASCII Media Works","2005-08-11JP","✔","",""
"Ico","Team Ico","Sony Computer Entertainment","2001-09-24NA","✔","✔","✔"
"Ide Yosuke no Mahjong Kazoku 2","Opus","SETA Corporation","2000-10-12JP","✔","",""
"Idol Janshi R: Janguru Project","Pacific Century Cyber Works","Pacific Century Cyber Works","2002-12-19JP","✔","",""
"Idol Janshi Suchie-Pai IV","Jaleco Entertainment","Jaleco Entertainment","2007-10-11JP","✔","",""
"Igo•SuperLite 2000 Table: IgoJP","Success","Success","2003-07-31JP","✔","",""
"The Igo•Simple 2000 Honkaku Shikou Series Vol. 2: The IgoJP","Yuki","D3 Publisher","2002-06-25JP","✔","",""
"Igo 4•Value 2000 Series: Igo 4JP","Magnolia","Magnolia","2004-07-22JP","✔","",""
"IGPX: Immortal Grand Prix","Namco Bandai Games","BandaiJP, Namco Bandai GamesNA","2006-03-30JP","✔","","✔"
"IHRA Drag Racing 2","Bethesda Softworks","Bethesda Softworks","2002-12-09NA","","","✔"
"IHRA Drag Racing: Sportsman Edition","Bethesda Softworks","Bethesda Softworks","2006-06-13NA","","","✔"
"IHRA Professional Drag Racing 2005","Bethesda Softworks","Bethesda Softworks","2004-11-09NA","","","✔"
"Iinazuke","PrincessSoft","PrincessSoft","2007-04-26JP","✔","",""
"Ikki Tousen: Shining Dragon","Marvelous Entertainment","Marvelous Entertainment","2007-07-26JP","✔","",""
"Ikuze! Onsen Takkyuu!!","Psikyo","Psikyo","2000-12-21JP","✔","",""
"Impossible Mission","System 3","System 3","2007-08-31EU","","✔",""
"In the Groove","Roxor Games","Red Octane","2005-06-08NA","","","✔"
"Inaka Kurashi: Nan no Shima no Monogatari","Polygon Magic","Victor Interactive Software","2002-09-12JP","✔","",""
"The Incredible Hulk","Edge of Reality","Sega","2008-06-05NA","","✔","✔"
"The Incredible Hulk: Ultimate Destruction","Radical Entertainment","Vivendi Universal Games","2005-08-23NA","","✔","✔"
"The Incredibles","Heavy Iron Studios","THQEU, NA, D3 PublisherJP","2004-10-31NA","✔","✔","✔"
"The Incredibles: Rise of the Underminer","Heavy Iron Studios","THQEU, NA, SegaJP","2005-11-01NA","✔","✔","✔"
"Indiana Jones and the Emperor's Tomb","The Collective","LucasArtsNA, ActivisionEU","2003-06-26NA","","✔","✔"
"Indiana Jones and the Staff of Kings","Artificial Mind and Movement","LucasArtsNA, ActivisionPAL","2009-06-09NA","","✔","✔"
"Indigo Prophecy•FahrenheitJP, PAL","Quantic Dream","Atari","2005-09-16EU","✔JP, KO","✔","✔"
"IndyCar Series","Brain in a Jar","Codemasters","2003-05-21NA","","✔","✔"
"IndyCar Series 2005","Codemasters","Codemasters","2004-06-24EU","","✔",""
"Initial D Special Stage","Sega Rosso","Sega","2003-06-26JP","✔","",""
"Initial D - Takahashi Ryosuke no Typing Saisoku Riron•Kashiramoji D: Takahashi Ryosuke no Typing Saisoku RironJP","e Frontier","SunSoft","2001-10-04JP","✔","",""
"Innocent Life: A Futuristic Harvest Moon•Kashiramoji D: Takahashi Ryosuke no Typing Saisoku RironJP","ArtePiazza","Marvelous EntertainmentJP, Natsume Inc.NA","2007-03-29JP","✔","","✔"
"Inspector Gadget: Mad Robots Invasion","Silmarils","Light and Shadow Production","2003EU","","✔",""
"Intellivision Lives!","Realtime Associates","Crave EntertainmentNA, Play It!EU","2003-11-20NA","","✔","✔"
"Interlude","Longshot","Crave EntertainmentNA, Play It!EU","2003-10-09JP","✔","",""
"International Cricket Captain III","Empire Interactive","Empire Interactive","2007-11-16PAL","","✔",""
"International Cue Club 2","Midas Interactive Entertainment","Midas Interactive Entertainment","2005-09-02PAL","","✔",""
"International Golf Pro","Aqua Pacific","Oxygen Games","2004-04-08EU","","✔",""
"International Pool Championship","Play It!","Play It!","2003-11-28EU","","✔",""
"International Snooker Championship","Play It!","Play It!","2004-01-16EU","","✔",""
"International Super Karts","Midas Interactive Entertainment","Midas Interactive Entertainment","2005-09-02EU","","✔",""
"International Superstar Soccer•Jikkyou World Soccer 2000JP","Konami","Konami","2000-08-03JP","✔","✔",""
"International Superstar Soccer 2","Konami","Konami","2002-05-17EU","","✔",""
"International Superstar Soccer 3","Konami","Konami","2003-03-28EU","","✔",""
"International Tennis Pro","Aqua Pacific","Midas Interactive Entertainment","2007-03-09EU","","✔",""
"Internet Igo","Success","Success","2002-06-13JP","✔","",""
"Internet Mahjong","Success","Success","2002-06-13JP","✔","",""
"Internet Othello","Success","Success","2002-06-13JP","✔","",""
"Internet Shogi","Success","Success","2002-06-13JP","✔","",""
"InuYasha: Feudal Combat•Inuyasha: Okugi RanbuJP","Eighting","Bandai","2005-06-16JP","✔","","✔"
"InuYasha: The Secret of the Cursed Mask•Inuyasha: Juuso no KamenJP","Kamui","Bandai","2004-03-18JP","✔","","✔"
"Iridium Runners","Plystos Entertainment","SouthPeak Games","2008-02-20NA","","✔","✔"
"Iris","KID","KID","2003-02-27JP","✔","",""
"Iron Aces 2: Birds of Prey•KuusenJP","Opera House","Kadokawa GamesJP, Xicat InteractiveEU","2001-02-22JP","✔","✔",""
"Iron Chef","Phoenix Games","Phoenix Games","2007-12-01JP","","✔",""
"Iron Man","Artificial Mind and Movement","Sega","2008-05-02NA","","✔","✔"
"Iron Sea•Simple 2000 Series Vol. 51: The SenkanJP","Tamsoft","D3 PublisherJP, 505 Game StreetEU","2004-05-20JP","✔","✔",""
"Ishikura Noboru no Igo Kouza: Chuukyuuhen","Unbalance","Unbalance","2003-10-23JP","✔","",""
"Ishikura Noboru no Igo Kouza: Joukyuuhen","Unbalance","Unbalance","2004-01-15JP","✔","",""
"Ishikura Noboru no Igo Kouza: Nyuumonhen","Unbalance","Unbalance","2003-09-25JP","✔","",""
"Island Xtreme Stunts","Silicon Dreams Studio","Electronic Arts, Lego Interactive","2002-09-22NA","","✔","✔"
"Itadaki Street 3: Okumanchouja ni Shite Ageru!","Crea-Tech","Enix Corporation","2002-02-28JP","✔","",""
"The Italian Job","Climax Studios","Eidos Interactive","2003-06-24NA","","✔","✔"
"Itsuka, Todoku, Ano Sora ni","Russel Corporation","Russel Corporation","2007-10-25JP","✔","",""
"Izayoi Renka","Chise","Kaga Tech","2004-03-18JP","✔","",""
"Izumo 2","Studio e.go!","GN Software","2006-04-27JP","✔","",""
"Izumo 2: Gakuen Kyousoukyoku","Studio e.go!","GN Software","2008-01-31JP","✔","",""
"Izumo Complete","Studio e.go!","GN Software","2005-02-03JP","✔","",""
"Izumo Zero","Studio e.go!","Success","2007-07-12JP","✔","",""
"J.League Pro Soccer Club o Tsukurou! '04","Smilebit","Sega","2004-06-24JP","✔",""
"J.League Pro Soccer Club o Tsukurou! 3","Smilebit","Sega","2003-06-05JP","✔","",""
"J.League Pro Soccer Club o Tsukurou! 5","Sega","Sega","2007-02-01JP","✔","",""
"J.League Tactics Manager","Sammy Studios","Sammy Studios","2003-02-13JP","✔","",""
"J.League Winning Eleven 10 + Europa League 06-07","Konami","Konami","2006-11-22JP","✔","",""
"J.League Winning Eleven 2007 Club Championship","Konami","Konami","2007-08-02JP","✔","",""
"J.League Winning Eleven 2008 Club Championship","Konami","Konami","2008-08-21JP","✔","",""
"J.League Winning Eleven 2009 Club Championship","Konami","Konami","2009-08-06JP","✔","",""
"J.League Winning Eleven 2010 Club Championship","Konami","Konami","2010-08-05JP","✔","",""
"J.League Winning Eleven 5","Konami","Konami","2001-10-25JP","✔","",""
"J.League Winning Eleven 6","Konami","Konami","2002-09-19JP","✔","",""
"J.League Winning Eleven 8: Asia Championship","Konami","Konami","2004-11-18JP","✔","",""
"J.League Winning Eleven 9: Asia Championship","Konami","Konami","2005-11-17JP","✔","",""
"J.League Winning Eleven Tactics","Konami","Konami","2003-12-11JP","✔","",""
"Jackass: The Game","Sidhe Interactive","Empire Interactive","2007-09-24NA","","✔","✔"
"Jacked•Simple 2000 Series Vol. 111: The Itadaki RiderJP","Sproing","XplosivEU, Studio9KO, D3 PublisherJP","2003-11-23EU","✔JP, KO","✔",""
"Jackie Chan Adventures","Atomic Planet Entertainment","Sony Computer Entertainment","2004-10-01EU","","✔",""
"Jackpot Madness","Dorasu","505 Game Street","2006EU","","✔",""
"Jade Cocoon 2•Tamamayu Monogatari 2JP","Genki","GenkiJP, UbisoftEU, NA","2001-08-30JP","✔","✔","✔"
"Jak 3","Naughty Dog","Sony Computer Entertainment","2004-11-09NA","✔KO","✔","✔"
"Jak and Daxter: The Lost Frontier","High Impact Games","Sony Computer Entertainment","2009-11-03NA","","✔","✔"
"Jak and Daxter: The Precursor Legacy","Naughty Dog","Sony Computer Entertainment","2001-12-03NA","✔JP, KO","✔","✔"
"Jak II•Jak II: RenegadeEU•Jak II: El RenegadoES•Jak and Daxter IIJP","Naughty Dog","Sony Computer Entertainment","2003-10-14NA","✔JP, KO","✔","✔"
"Jak X: Combat Racing","Naughty Dog","Sony Computer Entertainment","2005-10-18NA","","✔","✔"
"James Bond 007: Agent Under Fire","EA Redwood Shores","Electronic Arts","2001-11-13NA","","✔","✔"
"James Bond 007: Everything or Nothing","EA Redwood Shores","Electronic Arts","2004-02-11JP","✔","✔","✔"
"James Cameron's Dark Angel","Radical Entertainment","Sierra Entertainment","2002-11-18NA","","✔","✔"
"James Pond: Codename Robocod","Gameware Development","Play It!","2006-07-28EU","","✔",""
"Jan Sangoku Musou","Omega Force","Koei","2006-03-23JP","✔","",""
"Jaws Unleashed","Appaloosa Interactive","Majesco EntertainmentAU, NA, THQEU","2006-05-23NA","","✔","✔"
"Jeep Thrills","Game Sauce","DSI GamesNA, Zoo Digital PublishingPAL","2008-08-05NA","","✔","✔"
"Jello","Phoenix Games","Phoenix Games","2006EU","","✔",""
"Jelly Belly: Ballistic Beans","Blue Monkey Studios","Zoo Digital PublishingEU, Zoo GamesNA","2009-03-27EU","","✔","✔"
"Jeopardy!","Artech Studios","Atari","2003-10-28NA","","","✔"
"Jeremy McGrath Supercross World","Acclaim Studios Salt Lake City","Acclaim Max Sports","2001-11-15NA","","✔","✔"
"Jet de Go! 2: Let's Go By Airliner","Taito","Taito","2002-03-28JP","✔","",""
"Jet Ion Grand Prix•Hresvelgr: International EditionJP","Gust","GustJP, UbisoftEU","2000-12-21JP","✔","✔",""
"Jet X2O","Killer Game","Sony Computer Entertainment","2002-10-28NA","","","✔"
"Jetix Puzzle Buzzle•Jetix Puzzle GameAU","Broadsword Interactive","Blast! Entertainment Ltd","2008-01-24AU","","✔",""
"Jewels Ocean: Star of Sierra Leone","Pionesoft","Pionesoft","2006-02-23JP","✔","",""
"Jigoku Shoujo Mioyosuga","Compile Heart","Compile Heart","2009-09-17JP","✔","",""
"Jikkyou G1 Stable","Konami","Konami","2000-09-28JP","✔","",""
"Jikkyou G1 Stable 2","Konami","Konami","2002-03-28JP","✔","",""
"Jikkyou J.League Perfect Striker 3","Konami","Konami","2001-03-22JP","✔","",""
"Jikkyou J.League Perfect Striker 4","Konami","Konami","2001-12-27JP","✔","",""
"Jikkyou J.League Perfect Striker 5","Konami","Konami","2002-07-25JP","✔","",""
"Jikkyou Jitsumei Keiba Dream Classic 2001 Autumn","Dream Japan","Bandai","2001-11-15JP","✔","",""
"Jikkyou Jitsumei Keiba Dream Classic 2001 Spring","Dream Japan","Bandai","2001-04-05JP","✔","",""
"Jikkyou Powerful Major League","Konami","Konami","2006-05-11JP","✔","",""
"Jikkyou Powerful Major League 2009","Konami","Konami","2009-04-29JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 10","Konami","Konami","2003-07-17JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial","Konami","Konami","2003-12-18JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 11","Konami","Konami","2004-07-15JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 11 Chou Ketteiban","Konami","Konami","2004-12-16JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 12","Konami","Konami","2005-07-14JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 12 Ketteiban","Konami","Konami","2005-12-15JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 13","Konami","Konami","2006-07-13JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 13 Ketteiban","Konami","Konami","2006-12-14JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 14","Konami","Konami","2007-07-19JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 14 Ketteiban","Konami","Konami","2007-12-20JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 15","Konami","Konami","2008-07-24JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 2009","Konami","Konami","2009-03-19JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 7","Konami","Konami","2000-07-06JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 7 Ketteiban","Konami","Konami","2000-12-21JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 8","Konami","Konami","2001-08-30JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 8 Ketteiban","Konami","Konami","2001-12-20JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 9","Konami","Konami","2002-07-18JP","✔","",""
"Jikkyou Powerful Pro Yakyuu 9 Ketteiban","Konami","Konami","2002-12-19JP","✔","",""
"Jikkyou World Soccer 2000 Final Edition","Konami","Konami","2000-12-21JP","✔","",""
"Jikkyou World Soccer 2001","Konami","Konami","2001-09-06JP","✔","",""
"Jikkyou World Soccer 2002","Konami","Konami","2002-05-16JP","✔","",""
"Jikuu Boukenki Zentrix","Sting Entertainment","Bandai","2005-04-21JP","✔","",""
"Jimmy Neutron Boy Genius","THQ","THQ","2002-09-26NA","","✔","✔"
"Jissen Pachi-Slot Hisshouhou! Aladdin A","Sammy Studios","Sammy Studios","2002-07-18JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution","Sega","Sega","2005-12-15JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2","Sega","Sega","2007-10-11JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Hokuto no Ken Plus","Sega","Sammy Studios","2005-02-24JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Kemono-Oh","Sammy Studios","Sammy Studios","2001-10-25JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! King Camel","Sammy Studios","Sammy Studios","2003-10-02JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Mister Magic Neo","Sega","Sega","2007-04-12JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S","Sammy Studios","Sammy Studios","2002-12-19JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Onimusha 3","Sammy Studios","Sega","2005-07-14JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Ore no Sora","Sega","Sega","2006-03-30JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Pachi-Slot Hokuto no Ken","Sammy Studios","Sammy Studios","2004-05-27JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Pachi-Slot Hokuto no Ken SE","Sega","Sega","2006-08-03JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Salaryman Kintarou","Sammy Studios","Sammy Studios","2003-03-20JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Sammy's Collection","Sammy Studios","Sammy Studios","2002-04-04JP","✔","",""
"Jissen Pachi-Slot Hisshouhou! Sammy's Collection 2•Jissen Pachi-Slot Hisshouhou! Sammy's Collection 2 DXJP","Sammy Studios","Sammy Studios","2003-12-25JP","✔","",""
