platform;slug;name;released;background_image;genre
Xbox Series S/X;warhammer-40000-space-marine-ii;Warhammer 40,000: Space Marine II;09/09/2024;https://media.rawg.io/media/games/950/950f4eae6dc907d7f534d5dcce454487.jpg;Action
PC;warhammer-40000-space-wolf;Warhammer 40,000: Space Wolf;28/10/2014;https://media.rawg.io/media/games/f32/f3249ed24f4b98846ea80ef631716ff0.jpg;Card, Strategy, Action
Xbox One;warhammer-40000-space-wolf;Warhammer 40,000: Space Wolf;28/10/2014;https://media.rawg.io/media/games/f32/f3249ed24f4b98846ea80ef631716ff0.jpg;Card, Strategy, Action
PlayStation 4;warhammer-40000-space-wolf;Warhammer 40,000: Space Wolf;28/10/2014;https://media.rawg.io/media/games/f32/f3249ed24f4b98846ea80ef631716ff0.jpg;Card, Strategy, Action
Nintendo Switch;warhammer-40000-space-wolf;Warhammer 40,000: Space Wolf;28/10/2014;https://media.rawg.io/media/games/f32/f3249ed24f4b98846ea80ef631716ff0.jpg;Card, Strategy, Action
iOS;warhammer-40000-space-wolf;Warhammer 40,000: Space Wolf;28/10/2014;https://media.rawg.io/media/games/f32/f3249ed24f4b98846ea80ef631716ff0.jpg;Card, Strategy, Action
Android;warhammer-40000-space-wolf;Warhammer 40,000: Space Wolf;28/10/2014;https://media.rawg.io/media/games/f32/f3249ed24f4b98846ea80ef631716ff0.jpg;Card, Strategy, Action
PC;warhammer-underworlds-online;Warhammer Underworlds: Online;29/01/2020;https://media.rawg.io/media/screenshots/fd6/fd67fb0d514e09ad403fd09efb976ae7.jpg;Strategy
PC;warhammer-chaosbane;Warhammer: Chaosbane;31/05/2019;https://media.rawg.io/media/games/382/3825ef8a6143ac0622758d6e0f5ae46e.jpg;Adventure, Action, RPG
PlayStation 5;warhammer-chaosbane;Warhammer: Chaosbane;31/05/2019;https://media.rawg.io/media/games/382/3825ef8a6143ac0622758d6e0f5ae46e.jpg;Adventure, Action, RPG
