platform;slug;name;released;background_image;genre
macOS;fishing-planet;Fishing Planet;2015-08-11;https://media.rawg.io/media/screenshots/28b/28bec9939d190ba619cad0693ebe304d.jpg;Massively Multiplayer, Simulation, Sports
Linux;fishing-planet;Fishing Planet;2015-08-11;https://media.rawg.io/media/screenshots/28b/28bec9939d190ba619cad0693ebe304d.jpg;Massively Multiplayer, Simulation, Sports
PC;ni-no-kuni-ii-revenant-kingdom;Ni no Kuni II: Revenant Kingdom;2018-03-23;https://media.rawg.io/media/games/b92/b924c4beeed6617201d5d91511cfcf8e.jpg;Adventure, RPG
Xbox One;ni-no-kuni-ii-revenant-kingdom;Ni no Kuni II: Revenant Kingdom;2018-03-23;https://media.rawg.io/media/games/b92/b924c4beeed6617201d5d91511cfcf8e.jpg;Adventure, RPG
PlayStation 4;ni-no-kuni-ii-revenant-kingdom;Ni no Kuni II: Revenant Kingdom;2018-03-23;https://media.rawg.io/media/games/b92/b924c4beeed6617201d5d91511cfcf8e.jpg;Adventure, RPG
Xbox Series S/X;ni-no-kuni-ii-revenant-kingdom;Ni no Kuni II: Revenant Kingdom;2018-03-23;https://media.rawg.io/media/games/b92/b924c4beeed6617201d5d91511cfcf8e.jpg;Adventure, RPG
Nintendo Switch;ni-no-kuni-ii-revenant-kingdom;Ni no Kuni II: Revenant Kingdom;2018-03-23;https://media.rawg.io/media/games/b92/b924c4beeed6617201d5d91511cfcf8e.jpg;Adventure, RPG
PC;superliminal;Superliminal;2019-11-12;https://media.rawg.io/media/screenshots/eca/eca35ae10f6e934ca79b7dc17ff71b23.jpg;Indie, Puzzle
Xbox One;superliminal;Superliminal;2019-11-12;https://media.rawg.io/media/screenshots/eca/eca35ae10f6e934ca79b7dc17ff71b23.jpg;Indie, Puzzle
PlayStation 4;superliminal;Superliminal;2019-11-12;https://media.rawg.io/media/screenshots/eca/eca35ae10f6e934ca79b7dc17ff71b23.jpg;Indie, Puzzle
Nintendo Switch;superliminal;Superliminal;2019-11-12;https://media.rawg.io/media/screenshots/eca/eca35ae10f6e934ca79b7dc17ff71b23.jpg;Indie, Puzzle
macOS;superliminal;Superliminal;2019-11-12;https://media.rawg.io/media/screenshots/eca/eca35ae10f6e934ca79b7dc17ff71b23.jpg;Indie, Puzzle
Linux;superliminal;Superliminal;2019-11-12;https://media.rawg.io/media/screenshots/eca/eca35ae10f6e934ca79b7dc17ff71b23.jpg;Indie, Puzzle
PC;jurassic-world-evolution-2;Jurassic World Evolution;2018-06-12;https://media.rawg.io/media/games/ea6/ea6d85ea0239943ff31a86097fb3fbc3.jpg;Strategy, Action, Simulation
Xbox One;jurassic-world-evolution-2;Jurassic World Evolution;2018-06-12;https://media.rawg.io/media/games/ea6/ea6d85ea0239943ff31a86097fb3fbc3.jpg;Strategy, Action, Simulation
PlayStation 4;jurassic-world-evolution-2;Jurassic World Evolution;2018-06-12;https://media.rawg.io/media/games/ea6/ea6d85ea0239943ff31a86097fb3fbc3.jpg;Strategy, Action, Simulation
Nintendo Switch;jurassic-world-evolution-2;Jurassic World Evolution;2018-06-12;https://media.rawg.io/media/games/ea6/ea6d85ea0239943ff31a86097fb3fbc3.jpg;Strategy, Action, Simulation
PC;metal-slug-3;METAL SLUG 3;2000-03-23;https://media.rawg.io/media/screenshots/df1/df1a27300bf1e4696734b437d81b0fcf.jpg;Casual, Arcade, Action, Fighting
PlayStation 4;metal-slug-3;METAL SLUG 3;2000-03-23;https://media.rawg.io/media/screenshots/df1/df1a27300bf1e4696734b437d81b0fcf.jpg;Casual, Arcade, Action, Fighting
Xbox One;metal-slug-3;METAL SLUG 3;2000-03-23;https://media.rawg.io/media/screenshots/df1/df1a27300bf1e4696734b437d81b0fcf.jpg;Casual, Arcade, Action, Fighting
iOS;metal-slug-3;METAL SLUG 3;2000-03-23;https://media.rawg.io/media/screenshots/df1/df1a27300bf1e4696734b437d81b0fcf.jpg;Casual, Arcade, Action, Fighting
Android;metal-slug-3;METAL SLUG 3;2000-03-23;https://media.rawg.io/media/screenshots/df1/df1a27300bf1e4696734b437d81b0fcf.jpg;Casual, Arcade, Action, Fighting
Xbox 360;metal-slug-3;METAL SLUG 3;2000-03-23;https://media.rawg.io/media/screenshots/df1/df1a27300bf1e4696734b437d81b0fcf.jpg;Casual, Arcade, Action, Fighting
PlayStation 3;metal-slug-3;METAL SLUG 3;2000-03-23;https://media.rawg.io/media/screenshots/df1/df1a27300bf1e4696734b437d81b0fcf.jpg;Casual, Arcade, Action, Fighting
